Date,Ticker,Shares,Buy_Price,Status,Buy_Date,Holding_Days,Sell_Date,Sell_Price,Invested_Amount,Net_Profit,Current_Valuation,ROI
2026-08-18,NTAP,64.0,154.25,持有,2026-06-23,56,-,-,9871.75,3229.69,13101.44,32.72%
2026-08-19,WU,1168.0,8.56,持有,2026-03-31,141,-,-,9999.84,-1590.24,8409.6,-15.90%
2026-08-19,BCE,397.0,25.17,持有,2026-03-31,141,-,-,9992.86,-583.96,9408.9,-5.84%
2026-08-19,MPLX,183.0,54.5,持有,2026-04-01,140,-,-,9974.32,765.95,10740.27,7.68%
2026-08-19,APA,275.0,36.26,持有,2026-04-15,126,-,-,9970.71,1978.04,11948.75,19.84%
2026-08-19,JBS,641.0,15.6,持有,2026-04-24,117,-,-,9997.72,-1183.97,8813.75,-11.84%
2026-08-19,RL,27.0,360.06,持有,2026-05-04,107,-,-,9721.63,483.29,10204.92,4.97%
2026-08-19,AGI,257.0,38.84,持有,2026-06-03,77,-,-,9982.32,-797.14,9185.18,-7.99%
2026-08-19,ALV,83.0,120.44,持有,2026-06-17,63,-,-,9996.74,79.84,10076.58,0.80%
2026-08-19,DECK,92.0,108.11,持有,2026-06-18,62,-,-,9945.94,-1521.5,8424.44,-15.30%
2026-08-19,LOGI,93.0,106.46,持有,2026-06-19,61,-,-,9900.44,-556.73,9343.71,-5.62%
2026-08-19,NTAP,64.0,154.25,持有,2026-06-23,57,-,-,9871.75,2574.97,12446.72,26.08%
2026-08-20,WU,1168.0,8.56,持有,2026-03-31,142,-,-,9999.84,-1485.12,8514.72,-14.85%
2026-08-20,BCE,397.0,25.17,持有,2026-03-31,142,-,-,9992.86,-552.2,9440.66,-5.53%
2026-08-20,MPLX,183.0,54.5,持有,2026-04-01,141,-,-,9974.32,749.48,10723.8,7.51%
2026-08-20,APA,275.0,36.26,持有,2026-04-15,127,-,-,9970.71,2236.54,12207.25,22.43%
2026-08-20,JBS,641.0,15.6,持有,2026-04-24,118,-,-,9997.72,-1312.17,8685.55,-13.12%
2026-08-20,RL,27.0,360.06,持有,2026-05-04,108,-,-,9721.63,336.41,10058.04,3.46%
2026-08-20,AGI,257.0,38.84,持有,2026-06-03,78,-,-,9982.32,-552.99,9429.33,-5.54%
2026-08-20,ALV,83.0,120.44,持有,2026-06-17,64,-,-,9996.74,32.04,10028.78,0.32%
2026-08-20,DECK,92.0,108.11,持有,2026-06-18,63,-,-,9945.94,-1770.82,8175.12,-17.80%
2026-08-20,LOGI,93.0,106.46,持有,2026-06-19,62,-,-,9900.44,-1033.82,8866.62,-10.44%
2026-08-20,NTAP,64.0,154.25,持有,2026-06-23,58,-,-,9871.75,2468.09,12339.84,25.00%
2026-08-21,WU,1168.0,8.56,持有,2026-03-31,143,-,-,9999.84,-1473.44,8526.4,-14.73%
2026-08-21,BCE,397.0,25.17,持有,2026-03-31,143,-,-,9992.86,-580.0,9412.87,-5.80%
2026-08-21,MPLX,183.0,54.5,持有,2026-04-01,142,-,-,9974.32,714.71,10689.03,7.17%
2026-08-21,APA,275.0,36.26,持有,2026-04-15,128,-,-,9970.71,1961.54,11932.25,19.67%
2026-08-21,JBS,641.0,15.6,持有,2026-04-24,119,-,-,9997.72,-1139.1,8858.62,-11.39%
2026-08-21,RL,27.0,360.06,持有,2026-05-04,109,-,-,9721.63,338.3,10059.93,3.48%
2026-08-21,AGI,257.0,38.84,持有,2026-06-03,79,-,-,9982.32,-252.3,9730.02,-2.53%
2026-08-21,ALV,83.0,120.44,持有,2026-06-17,65,-,-,9996.74,335.32,10332.06,3.35%
2026-08-21,DECK,92.0,108.11,持有,2026-06-18,64,-,-,9945.94,-1511.38,8434.56,-15.20%
2026-08-21,LOGI,93.0,106.46,持有,2026-06-19,63,-,-,9900.44,-969.65,8930.79,-9.79%
2026-08-21,NTAP,64.0,154.25,持有,2026-06-23,59,-,-,9871.75,2433.53,12305.28,24.65%
2026-08-24,WU,1168.0,8.56,持有,2026-03-31,146,-,-,9999.84,-1450.08,8549.76,-14.50%
2026-08-24,BCE,397.0,25.17,持有,2026-03-31,146,-,-,9992.86,-524.41,9468.45,-5.25%
2026-08-24,MPLX,183.0,54.5,持有,2026-04-01,145,-,-,9974.32,723.86,10698.18,7.26%
2026-08-24,APA,275.0,36.26,持有,2026-04-15,131,-,-,9970.71,1843.29,11814.0,18.49%
2026-08-24,JBS,641.0,15.6,持有,2026-04-24,122,-,-,9997.72,-1100.64,8897.08,-11.01%
